station_id,name,latitude,longitude,town,num_connections,connector_type,power_kw
308678,Akshaya Motors Mercedes-Benz,12.923963230811792,77.49720824597415,Bengaluru,1,CCS (Type 2),90.0
309317,"Jio-BP Pulse Hub, Marathalli",12.95179,77.70207,Bengaluru,11,CCS (Type 2),60.0
103610,Ather Grid Point - Royal Airawat Residency,12.9222872,77.4954903,Bengaluru,1,Unknown,3.0
308813,Metropolis Gurukrupa Apartment,12.87479,77.64694,Bengaluru,1,Type 2 (Tethered Connector) ,7.4
309304,Metropolis Gurukrupa,12.87544,77.64835,Bengaluru,2,CCS (Type 2),60.0
308898,Shell Recharge Bagmane Solarium,12.9717,77.7075,Bengaluru,1,CCS (Type 2),30.0
309313,Big Pitcher Sarjapur Road,12.90986,77.68856,Bengaluru,1,CCS (Type 2),60.0
308896,Shell Recharge Brookfield,12.982973492700651,77.7080860046741,Bengaluru,3,CCS (Type 2),120.0
309347,BMW Deutsche Motoren,12.984136068485071,77.70811153054012,Bengaluru,2,CCS (Type 2),50.0
309345,"Fairfield by Marriott, Mahadevapura",12.981842444072356,77.7086328330862,Bengaluru,1,CCS (Type 2),30.0
309348,Epitome KIA Whitefield,12.985769101393643,77.70856232742358,Bengaluru,1,CCS (Type 2),150.0
309346,Lithium Urban Tech Pvt Ltd,12.98306,77.70906,Bengaluru,2,CCS (Type 2),60.0
308917,Blusmart Charging Station (Gottigere Hub),12.85845,77.58721,Bengaluru,2,CCS (Type 2),60.0
309305,"Kropex Auto, Hosur Road",12.87194,77.65095,Bengaluru,2,CCS (Type 2),25.0
309314,Bellandur Charging Hub,12.92924,77.70305,Bengaluru,10,CCS (Type 2),60.0
309344,Prestige Technostar,12.972600290996027,77.71145680417794,Bengaluru,1,CCS (Type 2),60.0
308662,Shell Recharge Tumkur Road,13.046725564235746,77.50216038004966,Bengaluru,1,CCS (Type 2),120.0
308733,VST Central KIA,13.05335,77.50798,Bengaluru,1,CCS (Type 2),150.0
308888,Shell Recharge Hennur,13.07536,77.6524,Bengaluru,2,CCS (Type 2),120.0
309343,KHT Brookefield,12.96712414548928,77.71696159433418,Bengaluru,2,CCS (Type 2),25.0
309342,JLR Shakti Auto,12.963582255188314,77.7173795341912,Bengaluru,2,CCS (Type 2),25.0
309341,goEgo EV CHARGE PARK,12.96316,77.71814,Bengaluru,1,CCS (Type 2),60.0
308795,IKEA Bengaluru,13.04917,77.49967,Bengaluru,1,Type 2 (Tethered Connector) ,7.2
309306,MG Motor Hosur Road,12.86563,77.65753,Bengaluru,2,CCS (Type 2),50.0
308904,Shell Recharge Kanakapura Road,12.86276,77.53146,Bengaluru,1,CCS (Type 2),120.0
508925,Adarsh Green Apartments,13.095707,77.610903,,3,Type 2 (Tethered Connector) ,7.0
308921,"La Maison Citroën Hosur Road, Bengaluru",12.86308,77.65922,Bengaluru,1,CCS (Type 2),60.0
